scenario,seed,policy,eviction_penalty,requests,prefill_tokens_total,prefill_tokens_p95,cache_hit_ratio,evicted_tokens_total
mixed,6,upstream-LCP,0.0,1000.0,85018.0,193.04999999999995,0.27780703691748354,84552.0
mixed,6,cost-aware-0.25,0.25,1000.0,92321.0,200.04999999999995,0.21577105383870473,91144.0
mixed,6,cost-aware-0.5,0.5,1000.0,92321.0,200.04999999999995,0.21577105383870473,91144.0
mixed,6,cost-aware-1.0,1.0,1000.0,92321.0,200.04999999999995,0.21577105383870473,91144.0
mixed,7,LRU,0.0,1000.0,93492.0,209.0999999999999,0.20168045700233111,93012.0
mixed,7,upstream-LCP,0.0,1000.0,83301.0,191.04999999999995,0.288700463662679,82821.0
mixed,7,cost-aware-0.25,0.25,1000.0,91132.0,206.04999999999995,0.22183227877825312,90024.0
mixed,7,cost-aware-0.5,0.5,1000.0,91132.0,206.04999999999995,0.22183227877825312,90024.0
mixed,7,cost-aware-1.0,1.0,1000.0,91132.0,206.04999999999995,0.22183227877825312,90024.0
mixed,8,LRU,0.0,1000.0,101676.0,225.0,0.19007790469817903,101084.0
mixed,8,upstream-LCP,0.0,1000.0,90966.0,208.04999999999995,0.2753907183482292,90374.0
mixed,8,cost-aware-0.25,0.25,1000.0,98345.0,215.24999999999977,0.2166117032293011,96883.0
mixed,8,cost-aware-0.5,0.5,1000.0,98345.0,215.24999999999977,0.2166117032293011,96883.0
mixed,8,cost-aware-1.0,1.0,1000.0,98345.0,215.24999999999977,0.2166117032293011,96883.0
mixed,9,LRU,0.0,1000.0,92278.0,201.04999999999995,0.20412264435723834,91786.0
mixed,9,upstream-LCP,0.0,1000.0,82145.0,187.0,0.29151752986329726,81653.0
mixed,9,cost-aware-0.25,0.25,1000.0,89772.0,197.0,0.22573634050627453,88492.0
mixed,9,cost-aware-0.5,0.5,1000.0,89772.0,197.0,0.22573634050627453,88492.0
mixed,9,cost-aware-1.0,1.0,1000.0,89772.0,197.0,0.22573634050627453,88492.0
mixed,10,LRU,0.0,1000.0,100921.0,217.0,0.18783698958651882,100610.0
mixed,10,upstream-LCP,0.0,1000.0,87587.0,196.04999999999995,0.29514252144662084,87276.0
mixed,10,cost-aware-0.25,0.25,1000.0,96626.0,206.0,0.2224010558336418,95363.0
mixed,10,cost-aware-0.5,0.5,1000.0,96626.0,206.0,0.2224010558336418,95363.0
mixed,10,cost-aware-1.0,1.0,1000.0,96626.0,206.0,0.2224010558336418,95363.0
mixed,11,LRU,0.0,1000.0,93758.0,207.0999999999999,0.2034628356852184,93117.0
mixed,11,upstream-LCP,0.0,1000.0,83389.0,190.0999999999999,0.29155445300619337,82748.0
mixed,11,cost-aware-0.25,0.25,1000.0,92504.0,204.0999999999999,0.2141164076902818,91122.0
mixed,11,cost-aware-0.5,0.5,1000.0,92504.0,204.0999999999999,0.2141164076902818,91122.0
mixed,11,cost-aware-1.0,1.0,1000.0,92504.0,204.0999999999999,0.2141164076902818,91122.0
mixed,12,LRU,0.0,1000.0,96148.0,221.0,0.2095107332834557,95851.0
mixed,12,upstream-LCP,0.0,1000.0,85214.0,206.04999999999995,0.299405579169784,84917.0
mixed,12,cost-aware-0.25,0.25,1000.0,94010.0,215.04999999999995,0.2270884889542962,92623.0
mixed,12,cost-aware-0.5,0.5,1000.0,94010.0,215.04999999999995,0.2270884889542962,92623.0
mixed,12,cost-aware-1.0,1.0,1000.0,94010.0,215.04999999999995,0.2270884889542962,92623.0
mixed,13,LRU,0.0,1000.0,94527.0,217.0,0.20011000634652,93972.0
mixed,13,upstream-LCP,0.0,1000.0,84877.0,202.04999999999995,0.28176856357097524,84322.0
mixed,13,cost-aware-0.25,0.25,1000.0,93147.0,208.04999999999995,0.21178760313094985,91787.0
