backend,policy,trial,request,kind,ttft_ms,tpot_ms,total_ms,prompt_tokens,completion_tokens,output_tps,burst_ms
cpu,cacheflow,3,1,short_decode,65.50679999963904,274.5914359999733,6930.292699998972,393,26,3.641774173904306,7534.931000000142
cpu,cacheflow,3,2,long_prefill,2948.7914000001183,38.99087142833326,3221.727499998451,630,8,25.64702873691959,7534.931000000142
cpu,cacheflow,3,3,short_decode,2949.087299999519,157.31989230768633,7039.404499999364,393,27,6.356475238644324,7534.931000000142
cpu,cacheflow,3,4,long_prefill,1656.3631000008172,42.09007142838215,1950.9935999994923,720,8,23.758572177800595,7534.931000000142
cpu,cacheflow,3,5,short_decode,1657.0067999982712,97.8731958333962,4005.9634999997797,393,25,10.21730200475155,7534.931000000142
cpu,cacheflow,3,6,long_prefill,1526.7667999996775,38.517742857168614,1796.3909999998577,720,8,25.96206126896369,7534.931000000142
cpu,cacheflow,3,7,short_decode,110.27590000048804,20.549074999962613,603.4536999995908,393,25,48.66399095831902,7534.931000000142
cpu,upstream,1,0,long_prefill,7793.172400000913,41.91662857140597,8086.588800000754,790,8,23.856880528844925,13236.814999998387
cpu,upstream,1,1,short_decode,7794.040299999324,161.989240000039,11843.771300000299,393,26,6.173249531881003,13236.814999998387
cpu,upstream,1,2,long_prefill,7792.948599999363,41.95035714292317,8086.601099999825,630,8,23.8376993214394,13236.814999998387
cpu,upstream,1,3,short_decode,63.29059999916353,269.94570425534783,12750.738700000511,393,48,3.7044486511038426,13236.814999998387
cpu,upstream,1,4,long_prefill,1601.6827000003104,39.50138571417483,1878.1923999995342,720,8,25.315567591370755,13236.814999998387
cpu,upstream,1,5,short_decode,1600.404000000708,73.60598936170294,5059.885500000746,393,48,13.585850943269817,13236.814999998387
cpu,upstream,1,6,long_prefill,1613.096899998709,37.88878571426072,1878.318399998534,720,8,26.393033747281493,13236.814999998387
cpu,upstream,1,7,short_decode,119.57900000015798,37.41248235292005,1391.6033999994397,393,35,26.729047021440152,13236.814999998387
cpu,upstream,2,0,long_prefill,7817.311299999346,38.65258571438192,8087.87940000002,790,8,25.871490393666427,12984.536400001161
cpu,upstream,2,1,short_decode,63.918800000465126,466.7160200000217,11731.819300001007,393,26,2.142630544372472,12984.536400001161
cpu,upstream,2,2,long_prefill,7817.059599999993,38.68102857164298,8087.826800001494,630,8,25.85246662062908,12984.536400001161
cpu,upstream,2,3,short_decode,7816.7744999991555,105.69889574470197,12784.622600000148,393,48,9.460836775583097,12984.536400001161
cpu,upstream,2,4,long_prefill,1605.9230000009848,36.53664285697492,1861.6794999998092,720,8,27.369783368290445,12984.536400001161
cpu,upstream,2,5,short_decode,1604.4452999994974,70.01215744678623,4895.01669999845,393,48,14.283233604964462,12984.536400001161
cpu,upstream,2,6,long_prefill,1587.3240000000806,44.03772857144109,1895.5881000001682,720,8,22.7078015247251,12984.536400001161
cpu,upstream,2,7,short_decode,113.95459999948798,42.1982541666542,1126.7126999991888,393,25,23.69766284763073,12984.536400001161
cpu,upstream,3,0,long_prefill,7884.004199999254,43.2753857143585,8186.931899999763,790,8,23.10782407811576,13076.96020000003
cpu,upstream,3,1,short_decode,62.880999999833875,469.608883999972,11803.103099999134,393,26,2.12943160589794,13076.96020000003
cpu,upstream,3,2,long_prefill,7882.469400001355,43.26667142855253,8185.336100001223,630,8,23.112478195863254,13076.96020000003
cpu,upstream,3,3,short_decode,7883.508599999914,106.32332765956737,12880.70499999958,393,48,9.405273725083758,13076.96020000003
cpu,upstream,3,4,long_prefill,1597.6544999994076,37.742328571506995,1861.8507999999565,720,8,26.495450541833687,13076.96020000003
cpu,upstream,3,5,short_decode,1596.2915000000066,70.05977234040712,4889.100799999142,393,48,14.273526256140114,13076.96020000003
cpu,upstream,3,6,long_prefill,1569.6236999992834,42.94967142855707,1870.271399999183,720,8,23.28306519558387,13076.96020000003
cpu,upstream,3,7,short_decode,115.9538000010798,43.09341666665508,1150.1958000008017,393,25,23.205400670255564,13076.96020000003
cuda,cacheflow,1,0,long_prefill,91.74859999984619,8.18571428577083,149.048600000242,790,8,122.16404886477567,698.3639999998559
cuda,cacheflow,1,1,short_decode,90.37100000023202,10.925211904750974,549.2298999997729,393,43,91.53140540597997,698.3639999998559
cuda,cacheflow,1,2,long_prefill,88.88909999950556,8.13850000018387,145.85860000079265,630,8,122.87276524880598,698.3639999998559
cuda,cacheflow,1,3,short_decode,18.911099999968428,12.246731914893509,594.5074999999633,393,48,81.65443703261593,698.3639999998559
cuda,cacheflow,1,4,long_prefill,98.62609999981942,6.67399999994294,145.34409999942,720,8,149.8351813018504,698.3639999998559
cuda,cacheflow,1,5,short_decode,73.03289999981644,9.070448148122523,317.93499999912456,393,28,110.2481358880805,698.3639999998559
cuda,cacheflow,1,6,long_prefill,56.060499999148306,6.917500000002162,104.48299999916344,720,8,144.56089627751174,698.3639999998559
cuda,cacheflow,1,7,short_decode,31.418800001119962,6.402921428551573,300.34150000028603,393,43,156.17870860336535,698.3639999998559
cuda,cacheflow,2,0,long_prefill,86.18849999947997,8.353314285808924,144.66170000014245,790,8,119.71296251822532,840.6451000009838
cuda,cacheflow,2,1,short_decode,18.424200001391,13.959499999985452,381.37120000101277,393,27,71.63580357470126,840.6451000009838
cuda,cacheflow,2,2,long_prefill,85.79479999934847,8.408414285960523,144.65370000107214,630,8,118.92848829650242,840.6451000009838
cuda,cacheflow,2,3,short_decode,85.97960000042804,12.31119999999677,664.6060000002763,393,48,81.22685034767223,840.6451000009838
cuda,cacheflow,2,4,long_prefill,81.92380000036792,7.012514285764025,131.0114000007161,720,8,142.60220503651328,840.6451000009838
